Name,Total Repos,New Repos,% Increase rate,Update Repos,% Update Rate,Sleeping Repos,Star 100+,Star 1000+,Sum Top30 Stars,Fork 100+,Fork 1000+,Sum Top30 Forks,Total Users,Followers 100+,Repos per User
JavaScript,6067428,7050,0.12,34271,0.56,3532555,27651,4052,1793175,8873,659,397943,1803790,7355,3.36
Java,5151902,5999,0.12,21865,0.42,3169601,12622,1844,645069,6139,426,227413,1815772,2712,2.84
HTML,3546603,6259,0.18,23114,0.65,1765941,3478,483,469200,1884,150,267597,1155403,338,3.07
Python,2965670,3788,0.13,18587,0.63,1632677,14261,1623,867985,4796,259,245139,1050088,3893,2.82
PHP,1789205,1574,0.09,7969,0.45,1161729,5852,658,373513,2011,84,132817,658077,1309,2.72
CSS,1612851,1751,0.11,8113,0.50,1000008,2768,373,640013,1173,67,207739,491139,287,3.28
Ruby,1528813,934,0.06,4075,0.27,1193599,5668,673,500894,2507,212,146006,389959,1939,3.92
C#,1359705,1546,0.11,6946,0.51,797553,3426,334,244958,1295,57,84376,504745,686,2.69
C++,1313635,1291,0.10,7678,0.58,791403,5516,642,704923,2137,120,218123,529489,1142,2.48
C,977812,812,0.08,4593,0.47,642947,5221,574,454515,1814,99,139616,392848,1029,2.49
Shell,755021,525,0.07,4469,0.59,449566,2945,314,418170,1018,53,86655,187988,245,4.02
Objective-C,480223,260,0.05,981,0.20,388563,5976,790,375611,1589,86,88107,169130,939,2.84
TypeScript,478561,1143,0.24,5429,1.13,140125,1715,256,530761,491,31,109265,98091,91,4.88
Swift,452971,566,0.12,1880,0.42,266668,3106,515,424721,595,32,63640,97894,361,4.63
Go,348653,423,0.12,3184,0.91,185147,5126,822,639956,938,76,126599,88755,828,3.93
R,306032,275,0.09,1569,0.51,195510,479,23,48172,180,9,141816,164816,247,1.86
Perl,143364,35,0.02,412,0.29,117098,407,27,77516,117,2,16498,27883,175,5.14
Scala,137339,98,0.07,642,0.47,94462,1022,93,170609,265,9,48462,33299,239,4.12
Matlab,136807,116,0.08,562,0.41,81112,161,10,38382,76,4,15700,43379,64,3.15
TeX,125366,127,0.10,978,0.78,76258,314,35,117425,111,7,30841,33563,30,3.74
VimL,124112,55,0.04,1047,0.84,72588,833,111,257478,151,14,39358,21110,55,5.88
Lua,107846,64,0.06,532,0.49,74975,563,49,135233,160,6,25911,45944,92,2.35
Kotlin,91073,290,0.32,1208,1.33,16796,650,85,219580,123,11,43843,15032,18,6.06
Haskell,79584,51,0.06,361,0.45,55735,523,40,94703,61,1,11266,10372,187,7.67
PowerShell,71183,97,0.14,803,1.13,38985,284,17,48060,116,4,23371,30611,71,2.33
Rust,66115,85,0.13,732,1.11,30446,934,94,185619,101,3,18493,7759,150,8.52
CoffeeScript,66109,8,0.01,78,0.12,58332,717,99,171834,166,10,29314,17261,35,3.83
Clojure,58642,25,0.04,180,0.31,45193,836,65,127922,87,6,21538,9791,158,5.99
Visual Basic,49025,39,0.08,183,0.37,32342,44,2,10108,10,0,3488,16892,8,2.90
Emacs Lisp,45791,21,0.05,453,0.99,26855,493,31,71120,58,4,16421,8538,76,5.36
ColdFusion,43868,0,0.00,14,0.03,40935,12,0,3222,4,0,1924,1667,2,26.32
Groovy,43793,36,0.08,230,0.53,30583,221,12,42200,111,5,60432,48735,23,0.90
Elixir,41199,32,0.08,200,0.49,23058,398,25,77137,47,2,10678,4066,61,10.13
Assembly,40219,30,0.07,182,0.45,24879,125,13,71978,27,2,12071,9253,12,4.35
Processing,39801,26,0.07,80,0.20,27679,36,2,10285,14,0,5963,11457,15,3.47
ASP,36994,13,0.04,82,0.22,23170,15,2,8301,4,1,3578,10787,0,3.43
ActionScript,24082,4,0.02,22,0.09,22445,122,8,27899,39,0,7417,9589,28,2.51
Pascal,23951,21,0.09,107,0.45,15805,88,4,18281,26,0,5227,9789,12,2.45
Erlang,22629,13,0.06,76,0.34,17963,314,21,57095,77,3,13444,5598,79,4.04
Puppet,21595,1,0.00,41,0.19,17582,25,0,5598,27,0,4607,4303,6,5.02
Dart,20722,79,0.38,324,1.56,7466,155,8,61556,21,1,8622,3129,34,6.62
XSLT,16959,23,0.14,104,0.61,10604,34,4,15984,18,0,5517,7224,1,2.35
Common Lisp,15966,9,0.06,68,0.43,11695,115,7,24906,9,0,3159,2473,36,6.46
Verilog,15953,13,0.08,50,0.31,9773,32,0,7246,9,0,2757,4696,5,3.40
OCaml,15410,3,0.02,128,0.83,9135,156,18,69108,26,2,7352,2812,42,5.48
FORTRAN,14879,19,0.13,103,0.69,8940,18,1,7191,8,0,3114,6147,2,2.42
Julia,13917,11,0.08,189,1.36,7453,110,4,30623,19,1,7116,3465,41,4.02
VHDL,13701,9,0.07,44,0.32,8651,17,0,6491,6,0,2508,3603,2,3.80
F#,13135,19,0.14,90,0.69,8521,103,4,18275,16,0,4761,2356,23,5.58
Elm,12044,8,0.07,78,0.65,7062,91,4,19284,10,0,3149,961,13,12.53
Scheme,11250,3,0.03,41,0.36,8385,47,4,18081,12,0,4043,1594,12,7.06
Prolog,10997,6,0.05,32,0.29,7406,12,0,3237,0,0,1188,1947,5,5.65
Racket,9870,5,0.05,47,0.48,6635,29,1,9501,1,0,1342,1557,13,6.34
D,9739,6,0.06,50,0.51,7338,53,3,17527,10,0,4132,2144,9,4.54
Apex,9369,8,0.09,36,0.38,5906,13,0,3807,12,1,5711,6443,4,1.45
Mathematica,9058,5,0.06,81,0.89,5291,10,2,5407,5,0,1783,2619,0,3.46
Cuda,8165,7,0.09,30,0.37,5244,42,6,20241,19,0,6479,1941,3,4.21
Haxe,8075,0,0.00,36,0.45,6057,55,4,16041,10,0,3074,1765,18,4.58
Tcl,6743,9,0.13,42,0.62,4049,17,0,4030,2,0,1623,1781,2,3.79
AutoHotkey,6195,3,0.05,29,0.47,3662,32,2,8252,2,0,1884,2358,3,2.63
Perl6,4058,5,0.12,27,0.67,2284,15,1,5334,5,0,2110,622,3,6.52
SourcePawn,3655,3,0.08,14,0.38,2049,5,0,1953,1,0,1020,1714,3,2.13
Crystal,3643,3,0.08,35,0.96,1624,45,6,25203,5,0,2922,335,6,10.87
Smalltalk,3624,7,0.19,35,0.97,1815,10,0,2423,3,0,1246,1225,3,2.96
OpenEdge ABL,3548,1,0.03,6,0.17,2513,16,0,4480,3,0,1815,861,1,4.12
XML,3486,0,0.00,6,0.17,3117,3,1,2520,2,0,1028,1462,0,2.38
Objective-C++,3269,2,0.06,10,0.31,2384,63,12,74739,17,3,11715,867,1,3.77
SAS,3240,4,0.12,15,0.46,1389,0,0,630,0,0,586,870,0,3.72
PureScript,3211,5,0.16,23,0.72,1514,24,2,9008,2,0,1556,205,11,15.66
Standard ML,3047,1,0.03,9,0.30,1883,21,0,6760,2,0,1437,532,4,5.73
Max,3024,3,0.10,8,0.26,1991,9,0,2924,0,0,720,772,1,3.92
AutoIt,2797,3,0.11,12,0.43,1852,8,0,3243,2,0,1114,1327,2,2.11
Stata,2679,6,0.22,31,1.16,1336,2,0,972,0,0,486,1091,0,2.46
SystemVerilog,2636,0,0.00,19,0.72,1375,5,0,1961,0,0,686,835,0,3.16
Coq,2591,5,0.19,34,1.31,1679,17,0,5059,1,0,796,518,1,5.00
Game Maker Language,2424,1,0.04,7,0.29,1819,2,0,1150,0,0,440,856,0,2.83
Ada,2384,1,0.04,18,0.76,1583,2,0,1419,0,0,436,521,0,4.58
AppleScript,2356,1,0.04,3,0.13,1744,29,3,9185,3,0,1385,637,0,3.70
Nix,2305,1,0.04,58,2.52,827,19,1,8095,1,1,4062,386,0,5.97
SuperCollider,2226,0,0.00,9,0.40,1550,3,0,1515,0,0,337,407,2,5.47
Vala,2220,1,0.05,50,2.25,1335,50,3,19460,4,0,1910,608,3,3.65
IDL,1899,1,0.05,13,0.68,1459,2,1,5202,2,0,1258,656,0,2.89
Pure Data,1760,0,0.00,0,0.00,1699,3,0,1664,0,0,404,472,1,3.73
LiveScript,1715,0,0.00,0,0.00,1420,17,2,8168,3,0,954,202,1,8.49
Scilab,1682,1,0.06,6,0.36,1080,0,0,444,0,0,334,482,0,3.49
NetLogo,1639,1,0.06,7,0.43,1019,0,0,251,0,0,188,460,0,3.56
Rebol,1584,2,0.13,4,0.25,1031,0,0,511,0,0,274,761,1,2.08
RobotFramework,1361,2,0.15,16,1.18,563,0,0,419,0,0,465,453,0,3.00
Awk,1277,0,0.00,10,0.78,816,12,2,6725,1,0,752,221,0,5.78
XQuery,1247,0,0.00,3,0.24,912,0,0,795,0,0,530,326,0,3.83
Component Pascal,1088,0,0.00,2,0.18,1015,0,0,629,0,0,480,548,1,1.99
Xtend,1088,0,0.00,4,0.37,713,1,0,1145,0,0,364,233,0,4.67
DM,1079,1,0.09,17,1.58,705,4,0,1807,15,2,6004,3922,0,0.28
xBase,1055,0,0.00,5,0.47,647,0,0,400,0,0,310,427,0,2.47
Gnuplot,1038,2,0.19,15,1.45,557,3,0,1403,1,0,507,270,0,3.84
Idris,1031,0,0.00,4,0.39,607,11,0,2756,0,0,308,64,1,16.11
Agda,1001,0,0.00,8,0.80,626,6,0,2126,0,0,404,137,1,7.31
PAWN,984,0,0.00,2,0.20,480,0,0,695,0,0,509,507,0,1.94
nesC,924,1,0.11,4,0.43,618,2,0,1494,2,0,841,369,0,2.50
ABAP,917,3,0.33,7,0.76,347,3,0,1740,2,0,935,475,1,1.93
COBOL,901,0,0.00,4,0.44,493,3,0,1439,0,0,227,265,0,3.40
Squirrel,820,1,0.12,3,0.37,537,0,0,466,0,0,307,256,0,3.20
GAP,803,3,0.37,10,1.25,384,1,0,669,1,0,473,246,0,3.26
Forth,773,1,0.13,10,1.29,457,5,0,2068,0,0,428,201,0,3.85
Io,754,1,0.13,1,0.13,541,0,0,613,0,0,180,194,0,3.89
CLIPS,751,0,0.00,2,0.27,460,0,0,117,0,0,74,137,0,5.48
UnrealScript,750,2,0.27,3,0.40,472,0,0,315,0,0,162,223,0,3.36
Objective-J,734,0,0.00,2,0.27,591,9,3,13363,4,0,1687,399,2,1.84
ANTLR,666,0,0.00,4,0.60,421,3,1,3870,1,1,1602,256,0,2.60
Eiffel,662,0,0.00,5,0.76,515,0,0,332,0,0,254,219,0,3.02
Gosu,627,0,0.00,2,0.32,517,4,0,1321,3,0,943,611,0,1.03
AspectJ,619,1,0.16,2,0.32,507,1,0,381,1,0,345,169,0,3.66
MoonScript,590,0,0.00,2,0.34,429,5,1,3767,1,0,591,53,2,11.13
SQL,490,0,0.00,0,0.00,484,4,0,1113,3,0,691,157,0,3.12
Mercury,476,0,0.00,5,1.05,336,4,0,1169,0,0,281,131,0,3.63
Alloy,413,0,0.00,3,0.73,268,0,0,204,0,0,60,91,0,4.54
Brightscript,395,2,0.51,3,0.76,263,0,0,834,0,0,408,209,0,1.89
BlitzBasic,379,0,0.00,1,0.26,316,0,0,162,0,0,198,117,0,3.24
Bro,361,0,0.00,2,0.55,238,4,1,3928,1,0,1061,136,2,2.65
Isabelle,344,0,0.00,7,2.03,180,2,0,839,0,0,172,68,0,5.06
Ceylon,333,0,0.00,1,0.30,258,0,0,479,0,0,215,47,1,7.09
Slash,303,0,0.00,0,0.00,173,1,0,590,2,0,801,212,0,1.43
XC,296,0,0.00,0,0.00,230,0,0,182,0,0,263,97,0,3.05
Propeller Spin,293,0,0.00,2,0.68,231,2,0,692,1,0,417,80,0,3.66
J,289,0,0.00,1,0.35,124,1,0,344,0,0,70,25,0,11.56
VCL,281,0,0.00,2,0.71,80,7,0,2210,2,0,950,26,0,10.81
Xojo,276,1,0.36,3,1.09,145,0,0,393,0,0,150,92,0,3.00
Inform 7,245,0,0.00,2,0.82,183,1,0,369,1,0,282,165,0,1.48
Monkey,240,0,0.00,0,0.00,187,0,0,275,0,0,78,50,0,4.80
ooc,230,0,0.00,0,0.00,228,1,0,661,0,0,197,36,1,6.39
Hy,225,0,0.00,0,0.00,136,0,0,737,0,0,88,14,0,16.07
KRL,221,0,0.00,0,0.00,166,0,0,48,0,0,31,36,0,6.14
Red,214,0,0.00,3,1.40,78,2,1,3974,1,0,459,69,0,3.10
Frege,197,0,0.00,0,0.00,155,1,1,3602,1,0,221,57,1,3.46
Boo,182,0,0.00,0,0.00,165,0,0,242,0,0,110,50,0,3.64
Lasso,174,0,0.00,0,0.00,118,1,0,406,0,0,304,138,0,1.26
Nemerle,172,0,0.00,0,0.00,159,3,0,1339,0,0,226,37,0,4.65
Arc,162,0,0.00,0,0.00,133,3,0,1746,1,0,344,48,1,3.38
Clean,145,0,0.00,2,1.38,77,0,0,113,0,0,37,35,0,4.14
Factor,141,0,0.00,0,0.00,103,1,0,956,1,0,181,31,1,4.55
Bluespec,131,0,0.00,1,0.76,80,0,0,308,0,0,152,46,0,2.85
Dylan,126,0,0.00,1,0.79,114,1,0,409,0,0,150,17,0,7.41
Fantom,116,0,0.00,1,0.86,52,0,0,92,0,0,37,8,0,14.50
ATS,114,0,0.00,2,1.75,63,2,0,542,0,0,75,14,1,8.14
Volt,114,0,0.00,0,0.00,67,0,0,137,0,0,64,18,0,6.33
Pike,106,0,0.00,0,0.00,92,0,0,114,0,0,56,15,0,7.07
Nu,75,0,0.00,0,0.00,75,0,0,286,0,0,74,8,0,9.38
XProc,74,0,0.00,1,1.35,44,0,0,111,0,0,47,10,0,7.40
Opa,73,0,0.00,0,0.00,70,0,0,336,0,0,103,17,0,4.29
Mirah,69,0,0.00,0,0.00,69,1,0,342,0,0,56,6,0,11.50
Parrot,67,0,0.00,1,1.49,59,0,0,413,0,0,81,24,0,2.79
Oxygene,65,0,0.00,0,0.00,65,0,0,81,0,0,50,31,0,2.10
PogoScript,50,0,0.00,0,0.00,44,1,0,288,0,0,68,5,0,10.00
Augeas,49,0,0.00,0,0.00,38,1,0,371,1,0,201,26,0,1.88
wisp,28,0,0.00,0,0.00,26,1,0,885,0,0,67,0,0,0.00
Fancy,19,0,0.00,0,0.00,18,1,0,287,0,0,34,2,0,9.50
Arduino,0,64332,+Inf,212777,+Inf,23805735,126703,16297,0,43980,2859,0,0,25787,0.00
Nimrod,0,64254,+Inf,210780,+Inf,26270669,126704,16297,0,43982,2859,0,0,25787,0.00

